Date,Hours,Visitors,Visitors/Hr,Notes
5/11/2014,3,83,,
5/12/2014,3,15,,
5/13/2014,6,51,,
5/14/2014,6,79,,
5/15/2014,3,45,,
5/16/2014,3,14,,
5/17/2014,6,84,,
5/18/2014,3,35,,
5/19/2014,3,22,,
5/20/2014,3,65,,
5/21/2014,6,107,,
5/22/2014,6,45,,
5/23/2014,6,92,,
5/24/2014,6,113,,
5/25/2014,3,72,,
5/26/2014,3,41,,
5/27/2014,6,49,,
5/28/2014,6,31,,
5/29/2014,6,20,,
5/30/2014,6,31,,
5/31/2014,6,89,,
6/1/2014,3,52,,
6/2/2014,3,4,,
6/3/2014,6,64,,
6/4/2014,3,57,,
6/5/2014,6,47,,
6/6/2014,6,34,,
6/7/2014,6,82,,
6/8/2014,3,37,,
6/9/2014,3,40,,
6/10/2014,6,58,,
6/11/2014,6,60,,
6/12/2014,6,99,,
6/13/2014,6,48,,
6/14/2014,6,110,,
6/15/2014,3,69,,
6/16/2014,3,20,,
6/17/2014,6,121,,
6/18/2014,2.5,32,,
6/19/2014,6,122,,
6/20/2014,6,112,,
6/21/2014,6,150,,
6/22/2014,3,91,,
6/23/2014,2.5,40,,
6/24/2014,6,113,,
6/25/2014,6,121,,
6/26/2014,6,98,,
6/27/2014,6,125,,
6/28/2014,6,135,,
6/29/2014,3,71,,
6/30/2014,3,50,,
7/1/2014,6,153,,
7/2/2014,6,152,,
7/3/2014,0,0,,
7/4/2014,6,103,,
7/5/2014,6,136,,
7/6/2014,3,72,,
7/7/2014,3,53,,
7/8/2014,6,123,,
7/9/2014,2,20,,
7/10/2014,6,112,,
7/11/2014,8,137,,
7/12/2014,6,144,,
7/13/2014,3,94,,
7/14/2014,3,60,,
7/15/2014,6,142,,
7/16/2014,6,127,,
7/17/2014,6,117,,
7/18/2014,6,116,,
7/19/2014,6,121,,
7/20/2014,3,88,,
7/21/2014,3,72,,
7/22/2014,6,128,,
7/23/2014,6,133,,
7/24/2014,6,177,,
7/25/2014,6,130,,
7/26/2014,6,137,,
7/27/2014,3,75,,
7/28/2014,3,78,,
7/29/2014,6,68,,
7/30/2014,6,105,,
7/31/2014,6,109,,
8/1/2014,6,89,,
8/2/2014,6,134,,
8/3/2014,3,94,,
8/4/2014,3,38,,
8/5/2014,6,105,,
8/6/2014,6,91,,
8/7/2014,6,89,,
8/8/2014,6,85,,
8/9/2014,6,130,,
8/10/2014,3,110,,
8/11/2014,3,47,,
8/12/2014,6,111,,
8/13/2014,6,77,,
8/14/2014,6,100,,
8/15/2014,6,109,,
8/16/2014,6,145,,
8/17/2014,3,83,,
8/18/2014,0,0,,
8/19/2014,6,74,,
8/20/2014,6,107,,
8/21/2014,6,80,,
8/22/2014,6,123,,
8/23/2014,6,69,,
8/24/2014,3,69,,
8/25/2014,3,3,,
8/26/2014,6,23,,
8/27/2014,0,0,,
8/28/2014,6,35,,
8/29/2014,6,33,,
8/30/2014,6,130,,
8/31/2014,3,79,,
9/1/2014,3,84,,
9/2/2014,6,52,,
9/3/2014,0,0,,
9/4/2014,6,14,,
9/5/2014,6,52,,
9/6/2014,6,81,,
9/7/2014,3,66,,
9/8/2014,3,20,,
9/9/2014,6,41,,
9/10/2014,0,0,,
9/11/2014,6,17,,
9/12/2014,6,31,,
9/13/2014,6,143,,
9/14/2014,3,65,,
9/15/2014,3,26,,
9/16/2014,6,15,,
9/17/2014,0,0,,
9/18/2014,6,9,,
9/19/2014,6,48,,
9/20/2014,0,0,,
9/21/2014,3,50,,
9/22/2014,3,19,,
9/23/2014,6,18,,
9/24/2014,6,25,,
9/25/2014,6,87,,
9/26/2014,6,84,,
9/27/2014,6,95,,
